[2023-01-21 13:11:28] No settings files found: /home/kyle/.local/share/Mindustry/settings.bin and /home/kyle/.local/share/Mindustry/settings_backup.bin
[2023-01-22 14:14:54] Saving 854 values; 29324 bytes
[2023-01-22 14:15:27] Saving 854 values; 29324 bytes
[2023-01-22 14:16:25] Saving 854 values; 29322 bytes
[2023-01-22 14:17:30] Saving 854 values; 29322 bytes
[2023-01-22 14:17:51] Saving 854 values; 29338 bytes
[2023-01-22 14:18:19] Saving 854 values; 29338 bytes
[2023-01-22 14:19:42] Saving 854 values; 29322 bytes
[2023-01-22 14:19:49] Saving 854 values; 29322 bytes
[2023-01-22 14:19:51] Saving 854 values; 29338 bytes
[2023-01-22 14:21:23] Saving 854 values; 29338 bytes
[2023-01-22 14:21:51] Saving 854 values; 29338 bytes
[2023-01-22 14:23:19] Saving 854 values; 29322 bytes
[2023-01-22 14:23:33] Saving 854 values; 29322 bytes
[2023-01-22 14:23:53] Saving 854 values; 29338 bytes
[2023-01-22 14:26:21] Saving 854 values; 29338 bytes
[2023-01-22 14:26:43] Saving 854 values; 29338 bytes
[2023-01-22 14:26:51] Saving 854 values; 29338 bytes
[2023-01-22 14:28:24] Saving 854 values; 29338 bytes
[2023-01-22 14:28:28] Saving 855 values; 29358 bytes
[2023-01-22 14:28:58] Saving 855 values; 29342 bytes
[2023-01-22 14:29:51] Saving 855 values; 29342 bytes
[2023-01-22 14:30:55] Saving 855 values; 29342 bytes
[2023-01-22 14:31:32] Saving 855 values; 29342 bytes
[2023-01-22 14:31:51] Saving 855 values; 29342 bytes
[2023-01-22 14:33:48] Saving 855 values; 29343 bytes
[2023-01-22 14:33:51] Saving 855 values; 29358 bytes
[2023-01-22 14:35:14] Saving 855 values; 29358 bytes
[2023-01-22 14:37:02] Saving 855 values; 29358 bytes
[2023-01-22 14:37:11] Saving 856 values; 29396 bytes
[2023-01-22 14:37:16] Saving 857 values; 29429 bytes
[2023-01-22 14:37:37] Saving 858 values; 29455 bytes
[2023-01-22 14:37:51] Saving 858 values; 29455 bytes
[2023-01-22 14:38:51] Saving 858 values; 29455 bytes
[2023-01-22 14:38:57] Saving 858 values; 29455 bytes
[2023-01-22 14:39:54] Saving 858 values; 29439 bytes
[2023-01-22 14:40:12] Saving 858 values; 29439 bytes
[2023-01-22 14:41:19] Saving 858 values; 29439 bytes
[2023-01-22 14:41:51] Saving 858 values; 29455 bytes
[2023-01-22 14:42:41] Saving 858 values; 29455 bytes
[2023-01-22 14:43:32] Saving 858 values; 29439 bytes
[2023-01-22 14:43:59] Saving 858 values; 29455 bytes
[2023-01-22 14:44:46] Saving 858 values; 29455 bytes
[2023-01-22 14:44:51] Saving 858 values; 29455 bytes
[2023-01-22 14:45:13] Saving 858 values; 29455 bytes
[2023-01-22 14:45:30] Saving 858 values; 29455 bytes
[2023-01-22 14:46:11] Saving 858 values; 29455 bytes
[2023-01-22 14:46:49] Saving 858 values; 29455 bytes
[2023-01-22 14:46:59] Saving 858 values; 29455 bytes
[2023-01-22 14:47:22] Saving 858 values; 29455 bytes
[2023-01-22 14:47:36] Saving 858 values; 29455 bytes
[2023-01-22 14:47:47] Saving 858 values; 29455 bytes
[2023-01-22 14:47:51] Saving 858 values; 29455 bytes
[2023-01-22 14:48:25] Saving 858 values; 29455 bytes
[2023-01-22 14:50:17] Saving 858 values; 29455 bytes
[2023-01-22 14:50:52] Saving 858 values; 29455 bytes
[2023-01-22 14:51:52] Saving 858 values; 29455 bytes
[2023-01-22 14:54:33] Saving 858 values; 29455 bytes
[2023-01-22 14:56:11] Saving 858 values; 29455 bytes
[2023-01-22 14:58:02] Saving 858 values; 29455 bytes
[2023-01-22 14:58:25] Saving 858 values; 29455 bytes
[2023-01-22 14:58:52] Saving 858 values; 29455 bytes
[2023-01-22 14:59:32] Saving 858 values; 29455 bytes
[2023-01-22 15:09:51] Saving 859 values; 29484 bytes
[2023-01-22 15:09:52] Saving 859 values; 29484 bytes
[2023-01-22 15:09:52] Saving 859 values; 29484 bytes
[2023-01-22 15:09:53] Saving 859 values; 29484 bytes
[2023-01-24 10:08:18] Loaded 859 values
[2023-01-24 10:08:18] Backed up /home/kyle/.local/share/Mindustry/settings.bin to /home/kyle/.local/share/Mindustry/settings_backup.bin (29484 bytes)
[2023-01-24 10:08:21] Saving 859 values; 29484 bytes
[2023-01-24 10:08:29] Saving 860 values; 29496 bytes
[2023-01-24 10:08:44] Saving 861 values; 29526 bytes
